timestamp,stmp_vwmp (upper),lmax_vwmp (upper),gmni_vwmp (upper),itbi_vwmp (upper),okcn_vwmp (upper),bfnx_vwmp (upper),btrx_vwmp (upper),bfly_vwmp (upper),bnus_vwmp (upper),cbse_vwmp (upper),krkn_vwmp (upper),all_vwmp (upper)
2021-02-24 10:30:00,50585.34,50609.5,50541.17,50580.75,50584.23,50429.56,50642.04,50544.26,50599.98,50490.36,50650.6,50652.87
2021-02-24 10:35:00,50300.0,50338.0,50272.27,50340.25,50423.94,50260.0,50312.68,50486.11,50354.01,50400.41,50361.8,50312.68
2021-02-24 10:40:00,50433.51,50549.0,50501.05,50556.75,50573.31,50449.41,50466.23,,50448.69,50534.84,50597.5,50501.05
2021-02-24 10:45:00,50579.91,50572.5,50530.59,50600.0,50581.41,50489.0,50585.23,,50498.55,50586.3,50550.6,50550.6
2021-02-24 10:50:00,50397.7,50563.75,50581.78,50510.25,50553.57,50450.0,50572.86,,50476.46,50544.32,50600.0,50600.0
2021-02-24 10:55:00,50147.58,50370.5,50198.38,50295.0,50445.86,50237.0,50212.34,,50126.58,50429.72,50393.0,50158.3
2021-02-24 11:00:00,50301.17,50160.5,50231.77,50417.25,50308.03,50199.0,50246.47,,50430.25,50378.55,50400.0,50231.77
2021-02-24 11:05:00,50620.44,50444.0,50612.01,50540.0,50588.69,50423.0,50539.37,,50503.62,50599.0,50546.9,50546.9
2021-02-24 11:10:00,50584.43,50485.75,50540.0,50600.0,50459.43,50421.0,50575.63,50500.0,50501.11,50557.46,50599.6,50599.6
2021-02-24 11:15:00,50398.48,50325.5,50399.99,50445.0,50368.91,50367.0,50499.38,,50335.66,50321.77,50372.8,50372.8
2021-02-24 11:20:00,50851.18,50488.0,50804.8,50881.5,50690.31,50642.0,50666.77,50436.16,50610.61,50773.66,50849.2,50773.66
2021-02-24 11:25:00,50855.3,50789.5,50809.2,50800.25,50828.72,50830.0,50837.75,,50788.49,50850.0,50827.0,50837.75
2021-02-24 11:30:00,50696.68,50688.0,50800.0,50760.0,50802.14,50603.0,50720.39,,50709.68,50686.43,50674.9,50720.39
